name,Protein,Energy,"Carbohydrate, by difference",Total lipid (fat),foodPortions
"Milk, fat free (skim)","{'Amount': 3.43, 'unit': 'g'}","{'Amount': 34.0, 'unit': 'kcal'}","{'Amount': 4.89, 'unit': 'g'}","{'Amount': 0.08, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': '1 individual school container'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, lactose free, low fat (1%)","{'Amount': 3.38, 'unit': 'g'}","{'Amount': 43.0, 'unit': 'kcal'}","{'Amount': 5.19, 'unit': 'g'}","{'Amount': 0.95, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, lactose free, fat free (skim)","{'Amount': 3.43, 'unit': 'g'}","{'Amount': 34.0, 'unit': 'kcal'}","{'Amount': 4.89, 'unit': 'g'}","{'Amount': 0.08, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, lactose free, reduced fat (2%)","{'Amount': 3.35, 'unit': 'g'}","{'Amount': 50.0, 'unit': 'kcal'}","{'Amount': 4.91, 'unit': 'g'}","{'Amount': 1.9, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Milk, lactose free, whole","{'Amount': 3.28, 'unit': 'g'}","{'Amount': 60.0, 'unit': 'kcal'}","{'Amount': 4.67, 'unit': 'g'}","{'Amount': 3.2, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.5, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Buttermilk, fat free (skim)","{'Amount': 3.31, 'unit': 'g'}","{'Amount': 40.0, 'unit': 'kcal'}","{'Amount': 4.79, 'unit': 'g'}","{'Amount': 1.07, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.6, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Buttermilk, low fat (1%)","{'Amount': 3.31, 'unit': 'g'}","{'Amount': 40.0, 'unit': 'kcal'}","{'Amount': 4.79, 'unit': 'g'}","{'Amount': 1.07, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.6, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Buttermilk, reduced fat (2%)","{'Amount': 4.1, 'unit': 'g'}","{'Amount': 56.0, 'unit': 'kcal'}","{'Amount': 5.3, 'unit': 'g'}","{'Amount': 2.0, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.6, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Buttermilk, whole","{'Amount': 3.21, 'unit': 'g'}","{'Amount': 62.0, 'unit': 'kcal'}","{'Amount': 4.88, 'unit': 'g'}","{'Amount': 3.31, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 2.6, 'portionDescription': 'Guideline amount per fl oz of beverage'}, {'gramWeight': 61, 'portionDescription': 'Guideline amount per cup of hot cereal'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
"Kefir, NS as to fat content","{'Amount': 3.59, 'unit': 'g'}","{'Amount': 52.0, 'unit': 'kcal'}","{'Amount': 7.48, 'unit': 'g'}","{'Amount': 0.96, 'unit': 'g'}","[{'gramWeight': 244, 'portionDescription': '1 cup'}, {'gramWeight': 30.5, 'portionDescription': '1 fl oz'}, {'gramWeight': 244, 'portionDescription': 'Quantity not specified'}]"
