name,Protein,Energy,"Carbohydrate, by difference",Total lipid (fat),foodPortions
"Lamb, shoulder chop, cooked, NS as to fat eaten","{'Amount': 22.3, 'unit': 'g'}","{'Amount': 274, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 19.8, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 28.35, 'portionDescription': '1 oz, boneless, cooked'}, {'gramWeight': 20, 'portionDescription': '1 oz, boneless, raw (yield after cooking)'}, {'gramWeight': 23, 'portionDescription': '1 oz, with bone, cooked (yield after bone removed)'}, {'gramWeight': 18, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked'}, {'gramWeight': 145, 'portionDescription': '1 large (8 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 127, 'portionDescription': '1 medium (7 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 100, 'portionDescription': '1 small (5.5 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Lamb, shoulder chop, cooked, lean and fat eaten","{'Amount': 22.3, 'unit': 'g'}","{'Amount': 274, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 19.8, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 28.35, 'portionDescription': '1 oz, boneless, cooked'}, {'gramWeight': 20, 'portionDescription': '1 oz, boneless, raw (yield after cooking)'}, {'gramWeight': 23, 'portionDescription': '1 oz, with bone, cooked (yield after bone removed)'}, {'gramWeight': 18, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked'}, {'gramWeight': 145, 'portionDescription': '1 large (8 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 127, 'portionDescription': '1 medium (7 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 100, 'portionDescription': '1 small (5.5 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Lamb, shoulder chop, cooked, lean only eaten","{'Amount': 24.7, 'unit': 'g'}","{'Amount': 202, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 10.7, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 28.35, 'portionDescription': '1 oz, boneless, cooked'}, {'gramWeight': 21, 'portionDescription': '1 oz, boneless, raw (yield after cooking)'}, {'gramWeight': 16, 'portionDescription': '1 oz, with bone, cooked (yield after bone and fat removed)'}, {'gramWeight': 13, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone and fat removed)'}, {'gramWeight': 21, 'portionDescription': '1 oz, with bone, cooked, lean only (yield after bone removed)'}, {'gramWeight': 16, 'portionDescription': '1 oz, with bone, raw, lean only (yield after cooking, bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked, fat removed'}, {'gramWeight': 104, 'portionDescription': '1 large (8 oz, with bone, raw) (yield after cooking, bone and fat removed)'}, {'gramWeight': 91, 'portionDescription': '1 medium (7 oz, with bone, raw) (yield after cooking, bone and fat removed)'}, {'gramWeight': 72, 'portionDescription': '1 small (5.5 oz, with bone, raw) (yield after cooking, bone and fat removed)'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Lamb, ribs, cooked, lean only eaten","{'Amount': 27.5, 'unit': 'g'}","{'Amount': 233, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 12.8, 'unit': 'g'}","[{'gramWeight': 13, 'portionDescription': '1 oz, with bone, cooked (yield after bone and fat removed)'}, {'gramWeight': 17, 'portionDescription': '1 oz, with bone, cooked, lean only (yield after bone removed)'}, {'gramWeight': 10, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone and fat removed)'}, {'gramWeight': 14, 'portionDescription': '1 oz, with bone, raw, lean only (yield after cooking, bone removed)'}, {'gramWeight': 8, 'portionDescription': '1 cubic inch, with bone, cooked (yield after bone and fat removed)'}, {'gramWeight': 25, 'portionDescription': '1 rib (yield after cooking, bone and fat removed)'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Lamb, ribs, cooked, NS as to fat eaten","{'Amount': 22.0, 'unit': 'g'}","{'Amount': 358, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 29.3, 'unit': 'g'}","[{'gramWeight': 22, 'portionDescription': '1 oz, with bone, cooked (yield after bone removed)'}, {'gramWeight': 14, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone removed)'}, {'gramWeight': 14, 'portionDescription': '1 cubic inch, with bone, cooked (yield after bone removed)'}, {'gramWeight': 46, 'portionDescription': '1 rib (yield after cooking, bone removed)'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Lamb, ribs, cooked, lean and fat eaten","{'Amount': 22.0, 'unit': 'g'}","{'Amount': 358, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 29.3, 'unit': 'g'}","[{'gramWeight': 22, 'portionDescription': '1 oz, with bone, cooked (yield after bone removed)'}, {'gramWeight': 14, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone removed)'}, {'gramWeight': 14, 'portionDescription': '1 cubic inch, with bone, cooked (yield after bone removed)'}, {'gramWeight': 46, 'portionDescription': '1 rib (yield after cooking, bone removed)'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Lamb hocks, cooked","{'Amount': 28.1, 'unit': 'g'}","{'Amount': 241, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 13.4, 'unit': 'g'}","[{'gramWeight': 19, 'portionDescription': '1 oz, with bone, cooked (yield after bone removed)'}, {'gramWeight': 15, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone removed)'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Lamb, roast, cooked, NS as to fat eaten","{'Amount': 23.8, 'unit': 'g'}","{'Amount': 265, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 18.1, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 28.35, 'portionDescription': '1 oz, boneless, cooked'}, {'gramWeight': 20, 'portionDescription': '1 oz, boneless, raw (yield after cooking)'}, {'gramWeight': 21, 'portionDescription': '1 oz, with bone, cooked (yield after bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked'}, {'gramWeight': 28, 'portionDescription': '1 medium slice (approx 3"" dia x 1/4"")'}, {'gramWeight': 14, 'portionDescription': '1 thin slice (approx 3"" dia x 1/8"")'}, {'gramWeight': 42, 'portionDescription': '1 thick slice (approx 3"" dia x 3/8"")'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Lamb, roast, cooked, lean and fat eaten","{'Amount': 23.8, 'unit': 'g'}","{'Amount': 265, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 18.1, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 28.35, 'portionDescription': '1 oz, boneless, cooked'}, {'gramWeight': 20, 'portionDescription': '1 oz, boneless, raw (yield after cooking)'}, {'gramWeight': 21, 'portionDescription': '1 oz, with bone, cooked (yield after bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked'}, {'gramWeight': 28, 'portionDescription': '1 medium slice (approx 3"" dia x 1/4"")'}, {'gramWeight': 42, 'portionDescription': '1 thick slice (approx 3"" dia x 3/8"")'}, {'gramWeight': 14, 'portionDescription': '1 thin slice (approx 3"" dia x 1/8"")'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Lamb, roast, cooked, lean only eaten","{'Amount': 26.4, 'unit': 'g'}","{'Amount': 196, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 9.18, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 28.35, 'portionDescription': '1 oz, boneless, cooked, lean only'}, {'gramWeight': 21, 'portionDescription': '1 oz, boneless, cooked (yield after fat removed)'}, {'gramWeight': 15, 'portionDescription': '1 oz, boneless, raw (yield after cooking, fat removed)'}, {'gramWeight': 21, 'portionDescription': '1 oz, boneless, raw, lean only (yield after cooking)'}, {'gramWeight': 16, 'portionDescription': '1 oz, with bone, cooked (yield after bone and fat removed)'}, {'gramWeight': 12, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone and fat removed)'}, {'gramWeight': 23, 'portionDescription': '1 oz, with bone, cooked, lean only (yield after bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 oz, with bone, raw, lean only (yield after cooking, bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked, fat removed'}, {'gramWeight': 28, 'portionDescription': '1 medium slice (approx 3"" dia x 1/4"")'}, {'gramWeight': 14, 'portionDescription': '1 thin slice (approx 3"" dia x 1/8"")'}, {'gramWeight': 42, 'portionDescription': '1 thick slice (approx 3"" dia x 3/8"")'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Lamb, ground or patty, cooked","{'Amount': 24.5, 'unit': 'g'}","{'Amount': 281, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 19.5, 'unit': 'g'}","[{'gramWeight': 123, 'portionDescription': '1 cup, cooked'}, {'gramWeight': 154, 'portionDescription': '1 cup, raw, yield cooked'}, {'gramWeight': 28.35, 'portionDescription': '1 oz, cooked'}, {'gramWeight': 19, 'portionDescription': '1 oz, raw (yield after cooking)'}, {'gramWeight': 77, 'portionDescription': '1 patty (4 oz, raw) (yield after cooking)'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Goat, boiled","{'Amount': 26.9, 'unit': 'g'}","{'Amount': 142, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 3.0, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 28.35, 'portionDescription': '1 oz, boneless, cooked'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Goat, fried","{'Amount': 26.5, 'unit': 'g'}","{'Amount': 153, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 4.52, 'unit': 'g'}","[{'gramWeight': 28.35, 'portionDescription': '1 oz, boneless, cooked'}, {'gramWeight': 21, 'portionDescription': '1 oz, boneless, raw (yield after cooking)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Goat, baked","{'Amount': 26.9, 'unit': 'g'}","{'Amount': 142, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 3.0, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 28.35, 'portionDescription': '1 oz, boneless, cooked'}, {'gramWeight': 20, 'portionDescription': '1 oz, boneless, raw (yield after cooking)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Goat head, cooked","{'Amount': 21.8, 'unit': 'g'}","{'Amount': 144, 'unit': 'kcal'}","{'Amount': 0.48, 'unit': 'g'}","{'Amount': 5.46, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, NFS'}, {'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 110, 'portionDescription': '1 cup, cooked, shredded'}, {'gramWeight': 28.35, 'portionDescription': '1 oz, boneless, cooked'}, {'gramWeight': 8, 'portionDescription': '1 oz, boneless, raw (yield after cooking)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Goat ribs, cooked","{'Amount': 26.9, 'unit': 'g'}","{'Amount': 142, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 3.0, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 22, 'portionDescription': '1 oz, with bone, cooked (yield after bone removed)'}, {'gramWeight': 14, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone removed)'}, {'gramWeight': 14, 'portionDescription': '1 cubic inch, with bone, cooked (yield after bone removed)'}, {'gramWeight': 46, 'portionDescription': '1 rib (yield after cooking, bone removed)'}, {'gramWeight': 85, 'portionDescription': 'Quantity not specified'}]"
"Veal, NS as to cut, cooked, NS as to fat eaten","{'Amount': 29.8, 'unit': 'g'}","{'Amount': 229, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 11.3, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 28.35, 'portionDescription': '1 oz, boneless, cooked'}, {'gramWeight': 19, 'portionDescription': '1 oz, boneless, raw (yield after cooking)'}, {'gramWeight': 23, 'portionDescription': '1 oz, with bone, cooked (yield after bone removed)'}, {'gramWeight': 15, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked'}, {'gramWeight': 67, 'portionDescription': 'Quantity not specified'}]"
"Veal, NS as to cut, cooked, lean and fat eaten","{'Amount': 29.8, 'unit': 'g'}","{'Amount': 229, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 11.3, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 28.35, 'portionDescription': '1 oz, boneless, cooked'}, {'gramWeight': 19, 'portionDescription': '1 oz, boneless, raw (yield after cooking)'}, {'gramWeight': 23, 'portionDescription': '1 oz, with bone, cooked (yield after bone removed)'}, {'gramWeight': 15, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked'}, {'gramWeight': 67, 'portionDescription': 'Quantity not specified'}]"
"Veal, NS as to cut, cooked, lean only eaten","{'Amount': 31.6, 'unit': 'g'}","{'Amount': 194, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 6.52, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 27, 'portionDescription': '1 oz, boneless, cooked (yield after fat removed)'}, {'gramWeight': 28.35, 'portionDescription': '1 oz, boneless, cooked, lean only'}, {'gramWeight': 16, 'portionDescription': '1 oz, boneless, raw (yield after cooking, fat removed)'}, {'gramWeight': 19, 'portionDescription': '1 oz, boneless, raw, lean only (yield after cooking)'}, {'gramWeight': 22, 'portionDescription': '1 oz, with bone, cooked (yield after bone and fat removed)'}, {'gramWeight': 22, 'portionDescription': '1 oz, with bone, cooked, lean only (yield after bone removed)'}, {'gramWeight': 12, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone and fat removed)'}, {'gramWeight': 15, 'portionDescription': '1 oz, with bone, raw, lean only (yield after cooking, bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked, fat removed'}, {'gramWeight': 67, 'portionDescription': 'Quantity not specified'}]"
"Veal chop, NS as to cooking method, NS as to fat eaten","{'Amount': 24.6, 'unit': 'g'}","{'Amount': 215, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 12.2, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 23, 'portionDescription': '1 oz, with bone, cooked (yield after bone removed)'}, {'gramWeight': 16, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked'}, {'gramWeight': 136, 'portionDescription': '1 large (8.25 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 107, 'portionDescription': '1 medium (6.5 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 78, 'portionDescription': '1 small (4.75 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 134, 'portionDescription': 'Quantity not specified'}]"
"Veal chop, NS as to cooking method, lean and fat eaten","{'Amount': 24.6, 'unit': 'g'}","{'Amount': 215, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 12.2, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 23, 'portionDescription': '1 oz, with bone, cooked (yield after bone removed)'}, {'gramWeight': 16, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked'}, {'gramWeight': 136, 'portionDescription': '1 large (8.25 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 107, 'portionDescription': '1 medium (6.5 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 78, 'portionDescription': '1 small chop (4.75 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 134, 'portionDescription': 'Quantity not specified'}]"
"Veal chop, NS as to cooking method, lean only eaten","{'Amount': 26.1, 'unit': 'g'}","{'Amount': 174, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 6.88, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 20, 'portionDescription': '1 oz, with bone, cooked (yield after bone and fat removed)'}, {'gramWeight': 13, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone and fat removed)'}, {'gramWeight': 22, 'portionDescription': '1 oz, with bone, cooked, lean only (yield after bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 oz, with bone, raw, lean only (yield after cooking, bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked, fat removed'}, {'gramWeight': 108, 'portionDescription': '1 large (8.25 oz, with bone, raw) (yield after cooking, bone and fat removed)'}, {'gramWeight': 85, 'portionDescription': '1 medium (6.5 oz, with bone, raw) (yield after cooking, bone and fat removed)'}, {'gramWeight': 62, 'portionDescription': '1 small chop (4.75 oz, with bone, raw) (yield after cooking, bone and fat removed)'}, {'gramWeight': 134, 'portionDescription': 'Quantity not specified'}]"
"Veal chop, fried, NS as to fat eaten","{'Amount': 27.3, 'unit': 'g'}","{'Amount': 238, 'unit': 'kcal'}","{'Amount': 9.91, 'unit': 'g'}","{'Amount': 9.18, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 23, 'portionDescription': '1 oz, with bone, cooked (yield after bone removed)'}, {'gramWeight': 16, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked'}, {'gramWeight': 20, 'portionDescription': '1 oz, with bone, raw, breaded (yield after cooking, bone removed)'}, {'gramWeight': 136, 'portionDescription': '1 large (8.25 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 161, 'portionDescription': '1 large, breaded (8.25 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 107, 'portionDescription': '1 medium (6.5 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 127, 'portionDescription': '1 medium, breaded (6.5 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 78, 'portionDescription': '1 small (4.75 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 93, 'portionDescription': '1 small, breaded (4.75 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 134, 'portionDescription': 'Quantity not specified'}]"
"Veal chop, fried, lean and fat eaten","{'Amount': 27.3, 'unit': 'g'}","{'Amount': 238, 'unit': 'kcal'}","{'Amount': 9.91, 'unit': 'g'}","{'Amount': 9.18, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 23, 'portionDescription': '1 oz, with bone, cooked (yield after bone removed)'}, {'gramWeight': 16, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone removed)'}, {'gramWeight': 20, 'portionDescription': '1 oz, with bone, raw, breaded (yield after cooking, bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked'}, {'gramWeight': 136, 'portionDescription': '1 large (8.25 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 161, 'portionDescription': '1 large, breaded (8.25 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 107, 'portionDescription': '1 medium (6.5 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 127, 'portionDescription': '1 medium, breaded (6.5 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 78, 'portionDescription': '1 small (4.75 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 93, 'portionDescription': '1 small, breaded (4.75 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 134, 'portionDescription': 'Quantity not specified'}]"
"Veal chop, fried, lean only eaten","{'Amount': 28.4, 'unit': 'g'}","{'Amount': 216, 'unit': 'kcal'}","{'Amount': 9.84, 'unit': 'g'}","{'Amount': 6.27, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 20, 'portionDescription': '1 oz, with bone, cooked (yield after bone and fat removed)'}, {'gramWeight': 22, 'portionDescription': '1 oz, with bone, cooked, lean only (yield after bone removed)'}, {'gramWeight': 13, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone and fat removed)'}, {'gramWeight': 17, 'portionDescription': '1 oz, with bone, raw, lean only (yield after cooking, bone removed)'}, {'gramWeight': 20, 'portionDescription': '1 oz, with bone, raw, breaded, lean only (yield after cooking, bone removed)'}, {'gramWeight': 16, 'portionDescription': '1 oz, with bone, raw, breaded (yield after cooking, bone and fat removed)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked, fat removed'}, {'gramWeight': 108, 'portionDescription': '1 large (8.25 oz, with bone, raw) (yield after cooking, bone and fat removed)'}, {'gramWeight': 128, 'portionDescription': '1 large, breaded (8.25 oz, with bone, raw) (yield after cooking, bone and fat removed)'}, {'gramWeight': 85, 'portionDescription': '1 medium (6.5 oz, with bone, raw) (yield after cooking, bone and fat removed)'}, {'gramWeight': 101, 'portionDescription': '1 medium, breaded (6.5 oz, with bone, raw) (yield after cooking, bone and fat removed)'}, {'gramWeight': 62, 'portionDescription': '1 small (4.75 oz, with bone, raw) (yield after cooking, bone and fat removed)'}, {'gramWeight': 74, 'portionDescription': '1 small, breaded (4.75 oz, with bone, raw) (yield after cooking, bone and fat removed)'}, {'gramWeight': 134, 'portionDescription': 'Quantity not specified'}]"
"Veal chop, broiled, NS as to fat eaten","{'Amount': 24.6, 'unit': 'g'}","{'Amount': 215, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 12.2, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 23, 'portionDescription': '1 oz, with bone, cooked (yield after bone removed)'}, {'gramWeight': 16, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked'}, {'gramWeight': 136, 'portionDescription': '1 large (8.25 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 107, 'portionDescription': '1 medium (6.5 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 78, 'portionDescription': '1 small chop (4.75 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 134, 'portionDescription': 'Quantity not specified'}]"
"Veal chop, broiled, lean and fat eaten","{'Amount': 24.6, 'unit': 'g'}","{'Amount': 215, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 12.2, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 23, 'portionDescription': '1 oz, with bone, cooked (yield after bone removed)'}, {'gramWeight': 16, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked'}, {'gramWeight': 136, 'portionDescription': '1 large (8.25 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 107, 'portionDescription': '1 medium (6.5 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 78, 'portionDescription': '1 small chop (4.75 oz, with bone, raw) (yield after cooking, bone removed)'}, {'gramWeight': 134, 'portionDescription': 'Quantity not specified'}]"
"Veal chop, broiled, lean only eaten","{'Amount': 26.1, 'unit': 'g'}","{'Amount': 174, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 6.88, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 20, 'portionDescription': '1 oz, with bone, cooked (yield after bone and fat removed)'}, {'gramWeight': 22, 'portionDescription': '1 oz, with bone, cooked, lean only (yield after bone removed)'}, {'gramWeight': 13, 'portionDescription': '1 oz, with bone, raw (yield after cooking, bone and fat removed)'}, {'gramWeight': 17, 'portionDescription': '1 oz, with bone, raw, lean only (yield after cooking, bone removed)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked, fat removed'}, {'gramWeight': 108, 'portionDescription': '1 large (8.25 oz, with bone, raw) (yield after cooking, bone and fat removed)'}, {'gramWeight': 85, 'portionDescription': '1 medium (6.5 oz, with bone, raw) (yield after cooking, bone and fat removed)'}, {'gramWeight': 62, 'portionDescription': '1 small chop (4.75 oz, with bone, raw) (yield after cooking, bone and fat removed)'}, {'gramWeight': 134, 'portionDescription': 'Quantity not specified'}]"
"Veal cutlet or steak, NS as to cooking method, NS as to fat eaten","{'Amount': 33.7, 'unit': 'g'}","{'Amount': 209, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 7.28, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 28.35, 'portionDescription': '1 oz, boneless, cooked'}, {'gramWeight': 19, 'portionDescription': '1 oz, boneless, raw (yield after cooking)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked'}, {'gramWeight': 134, 'portionDescription': 'Quantity not specified'}]"
"Veal cutlet or steak, NS as to cooking method, lean and fat eaten","{'Amount': 35.9, 'unit': 'g'}","{'Amount': 209, 'unit': 'kcal'}","{'Amount': 0.0, 'unit': 'g'}","{'Amount': 6.28, 'unit': 'g'}","[{'gramWeight': 134, 'portionDescription': '1 cup, cooked, diced'}, {'gramWeight': 28.35, 'portionDescription': '1 oz, boneless, cooked'}, {'gramWeight': 19, 'portionDescription': '1 oz, boneless, raw (yield after cooking)'}, {'gramWeight': 17, 'portionDescription': '1 cubic inch, boneless, cooked'}, {'gramWeight': 134, 'portionDescription': 'Quantity not specified'}]"
